Fecha,IdVehiculo,IdModelo,IdCliente,Estado,Year,Precio
2016-10-27,1,12,23085,Nuevo,2016,45431
2021-04-08,2,10,23537,Segunda Mano,2009,22666
2015-06-03,3,5,9275,Nuevo,2015,21762
2021-07-28,4,19,27362,Segunda Mano,2006,12362
2023-06-29,5,10,15864,Segunda Mano,2020,35144
2016-07-14,6,8,17152,Nuevo,2016,47628
2020-11-22,7,5,21631,Segunda Mano,2015,16320
2015-08-29,8,18,4370,Nuevo,2015,40837
2023-07-25,9,15,29636,Nuevo,2023,24351
2023-01-05,10,15,1486,Segunda Mano,2014,16969
2017-08-29,11,7,206,Segunda Mano,2013,29853
2021-09-15,12,10,11356,Nuevo,2021,49485
2017-09-02,13,4,23334,Nuevo,2017,27559
2021-03-06,14,18,28281,Nuevo,2021,29109
2016-05-05,15,6,21008,Segunda Mano,2010,22698
2018-06-05,16,19,11310,Segunda Mano,2014,21861
2020-01-14,17,6,19006,Segunda Mano,2007,22279
2015-07-04,18,15,11683,Segunda Mano,2009,13690
2017-10-18,19,8,23108,Nuevo,2017,45766
2020-02-08,20,10,28841,Segunda Mano,2009,27957
2020-09-03,21,8,4506,Segunda Mano,2008,26147
2015-03-14,22,3,7755,Segunda Mano,2000,23546
2016-01-18,23,7,18946,Nuevo,2016,47856
2019-07-25,24,9,14988,Segunda Mano,2018,26914
2016-12-21,25,16,16422,Nuevo,2016,37668
2017-12-30,26,2,2743,Segunda Mano,2006,21982
2018-04-11,27,7,16155,Nuevo,2018,45349
2016-11-15,28,6,509,Segunda Mano,2007,22582
2016-06-17,29,9,6359,Nuevo,2016,43398
2023-10-12,30,16,5224,Segunda Mano,2015,18734
2023-01-06,31,6,27188,Segunda Mano,2016,24687
2017-11-26,32,4,24148,Segunda Mano,2006,18960
2020-07-21,33,16,29407,Segunda Mano,2012,24271
2016-06-22,34,17,20065,Segunda Mano,2003,14801
2016-04-05,35,12,1251,Segunda Mano,2005,26573
2017-10-22,36,11,8338,Segunda Mano,2006,24575
2020-10-08,37,16,6051,Segunda Mano,2012,23253
2017-12-03,38,14,19128,Nuevo,2017,36329
2022-03-15,39,20,28319,Segunda Mano,2010,18782
2017-01-23,40,17,29373,Segunda Mano,2011,15383
2021-02-17,41,12,2905,Segunda Mano,2015,25524
2018-06-09,42,12,21130,Segunda Mano,2014,26249
2020-03-29,43,6,9702,Segunda Mano,2008,19970
2020-12-04,44,11,3797,Segunda Mano,2012,25271
2019-08-04,45,15,27510,Nuevo,2019,28741
2019-07-30,46,11,24707,Segunda Mano,2008,19007
2018-01-02,47,8,7407,Nuevo,2018,50679
2019-05-24,48,5,20530,Segunda Mano,2004,14613
2017-08-09,49,7,23827,Segunda Mano,2008,30988
2015-10-06,50,8,29350,Segunda Mano,2014,29034
2017-04-12,51,9,13005,Nuevo,2017,55802
2022-08-19,52,11,27839,Nuevo,2022,30610
2022-05-16,53,19,22350,Segunda Mano,2012,17791
2022-01-04,54,12,21573,Segunda Mano,2018,39708
2016-04-07,55,15,9058,Nuevo,2016,23130
2023-01-11,56,7,23126,Segunda Mano,2020,27539
2021-07-06,57,10,10286,Segunda Mano,2011,19814
2015-12-22,58,7,13521,Nuevo,2015,34244
2021-12-06,59,9,17284,Segunda Mano,2008,24002
2015-06-01,60,9,19272,Segunda Mano,2000,26689
2019-03-07,61,7,11251,Segunda Mano,2008,19671
2021-04-15,62,17,13417,Segunda Mano,2015,15126
2016-05-27,63,20,25524,Segunda Mano,2014,29415
2018-01-07,64,18,15,Segunda Mano,2014,18198
2017-12-16,65,16,25668,Segunda Mano,2010,28718
2017-03-20,66,16,1491,Nuevo,2017,36381
2021-06-30,67,20,12222,Segunda Mano,2007,17541
2023-08-14,68,16,22836,Nuevo,2023,35113
2015-03-31,69,6,15419,Segunda Mano,2014,36193
2015-05-04,70,9,21679,Segunda Mano,2005,20877
2022-10-20,71,3,25487,Nuevo,2022,47115
2016-11-17,72,8,29778,Segunda Mano,2009,27769
2017-12-01,73,9,24983,Segunda Mano,2012,23045
2018-12-01,74,7,10268,Segunda Mano,2003,21003
2020-10-16,75,10,17083,Segunda Mano,2010,27883
2022-09-04,76,20,11959,Nuevo,2022,36277
2017-08-25,77,9,13232,Segunda Mano,2007,24520
2019-09-29,78,7,8653,Nuevo,2019,38883
2021-07-08,79,4,15848,Segunda Mano,2010,19387
2020-10-25,80,7,27934,Segunda Mano,2016,20839
2020-10-11,81,15,26020,Segunda Mano,2014,19319
2020-12-11,82,17,6910,Nuevo,2020,23865
2019-12-25,83,20,7973,Nuevo,2019,39268
2016-03-12,84,19,23195,Nuevo,2016,32851
2016-03-23,85,8,13886,Segunda Mano,2013,34227
2016-01-28,86,15,3314,Segunda Mano,2015,19799
2017-10-10,87,3,14966,Segunda Mano,2002,20238
2017-08-09,88,13,6780,Segunda Mano,2014,35402
2021-05-15,89,10,19385,Segunda Mano,2013,26244
2015-05-02,90,11,4089,Segunda Mano,2008,31619
2018-04-19,91,16,17356,Segunda Mano,2004,17219
2017-03-08,92,15,9535,Segunda Mano,2014,17459
2015-11-05,93,4,27483,Segunda Mano,2002,18579
2020-04-03,94,7,21109,Nuevo,2020,38634
2018-07-26,95,11,24922,Segunda Mano,2010,20318
2020-01-03,96,15,18529,Nuevo,2020,22000
2023-10-21,97,3,11084,Segunda Mano,2021,21590
2023-07-20,98,2,15832,Segunda Mano,2020,25860
2015-01-11,99,6,24714,Segunda Mano,2004,17986
2023-06-16,100,15,10281,Segunda Mano,2009,8893
2021-08-08,101,11,174,Segunda Mano,2007,14207
2017-02-04,102,15,25345,Segunda Mano,2002,12391
2018-04-06,103,9,17951,Nuevo,2018,43408
2023-07-25,104,19,15893,Segunda Mano,2020,18677
2019-11-26,105,1,20562,Segunda Mano,2012,19706
2016-08-10,106,6,12742,Segunda Mano,2010,24515
2019-08-28,107,6,25671,Segunda Mano,2004,19264
2017-10-17,108,18,29521,Nuevo,2017,40760
2022-10-07,109,17,5786,Segunda Mano,2016,19741
2020-05-19,110,15,25521,Nuevo,2020,25573
2016-08-12,111,8,13909,Segunda Mano,2012,24831
2023-09-02,112,18,7377,Segunda Mano,2018,28604
2019-06-06,113,13,25769,Nuevo,2019,62101
2018-05-01,114,11,4842,Segunda Mano,2016,28887
2021-11-01,115,13,9135,Nuevo,2021,53402
2020-09-15,116,14,12092,Segunda Mano,2017,28317
2015-02-27,117,4,26165,Segunda Mano,2003,19539
2022-04-07,118,9,15724,Segunda Mano,2010,17817
2021-09-16,119,7,29336,Nuevo,2021,32690
2016-07-13,120,14,6905,Nuevo,2016,38892
2022-08-21,121,8,27842,Segunda Mano,2020,45124
2019-01-31,122,12,23810,Segunda Mano,2005,20793
2022-01-16,123,15,24133,Segunda Mano,2011,15377
2023-06-27,124,16,4967,Segunda Mano,2021,16812
2018-02-02,125,17,19609,Segunda Mano,2017,25493
2022-03-21,126,11,19220,Nuevo,2022,40703
2023-07-04,127,16,9079,Nuevo,2023,33034
2020-02-26,128,11,15109,Segunda Mano,2017,24325
2018-11-09,129,17,29819,Segunda Mano,2003,12073
2022-01-04,130,15,12431,Nuevo,2022,28300
2019-01-23,131,7,6895,Segunda Mano,2014,24307
2019-03-27,132,11,173,Segunda Mano,2006,13767
2022-04-28,133,13,6528,Nuevo,2022,53156
2021-10-26,134,15,3854,Segunda Mano,2012,21249
2023-01-21,135,12,10691,Segunda Mano,2020,41465
2019-10-21,136,12,15465,Segunda Mano,2011,26279
2017-03-26,137,16,6525,Segunda Mano,2015,18416
2015-04-15,138,10,1058,Segunda Mano,2008,26953
2020-06-24,139,5,29904,Segunda Mano,2012,15871
2021-07-04,140,17,9995,Nuevo,2021,22297
2023-08-12,141,17,16539,Segunda Mano,2008,10597
2022-11-20,142,18,6697,Segunda Mano,2021,26797
2016-01-24,143,6,5427,Segunda Mano,2011,29265
2022-10-07,144,13,16302,Segunda Mano,2017,35356
2023-04-23,145,10,20149,Segunda Mano,2008,18112
2016-10-19,146,15,1416,Nuevo,2016,27180
2018-03-25,147,3,12128,Nuevo,2018,33132
2019-01-31,148,13,12102,Segunda Mano,2016,43712
2017-12-05,149,13,18459,Nuevo,2017,62008
2016-03-08,150,7,456,Nuevo,2016,38216
2016-08-11,151,9,2153,Segunda Mano,2010,25278
2015-04-22,152,17,14630,Nuevo,2015,22312
2016-05-14,153,1,18905,Segunda Mano,2005,14898
2023-12-08,154,16,24485,Nuevo,2023,37887
2015-12-09,155,10,15237,Segunda Mano,2001,18972
2019-01-18,156,7,12622,Segunda Mano,2011,26830
2018-08-14,157,7,27764,Segunda Mano,2009,32251
2023-11-22,158,10,985,Segunda Mano,2012,22034
2023-05-09,159,11,13290,Nuevo,2023,29015
2022-12-28,160,5,16005,Segunda Mano,2009,15500
2019-12-19,161,13,17493,Segunda Mano,2004,22138
2017-10-28,162,16,13267,Segunda Mano,2005,18297
2021-05-24,163,11,20327,Segunda Mano,2019,21534
2023-06-28,164,7,9144,Segunda Mano,2008,19842
2023-08-09,165,1,1972,Segunda Mano,2020,20808
2015-02-21,166,5,7132,Segunda Mano,2011,15563
2022-07-04,167,14,25436,Segunda Mano,2007,16131
2020-02-27,168,12,9086,Nuevo,2020,46239
2020-02-21,169,17,26725,Segunda Mano,2007,19330
2015-09-16,170,9,28558,Segunda Mano,2008,34428
2018-12-05,171,17,28532,Segunda Mano,2006,16667
2021-12-02,172,8,7787,Nuevo,2021,50241
2018-12-01,173,9,28388,Segunda Mano,2006,24681
2016-04-30,174,13,2416,Segunda Mano,2013,44981
2017-02-05,175,7,8791,Segunda Mano,2006,21991
2019-06-28,176,10,18856,Segunda Mano,2011,31871
2020-04-23,177,12,22184,Nuevo,2020,53783
2016-02-02,178,6,15917,Nuevo,2016,44197
2019-01-22,179,10,15243,Segunda Mano,2016,35580
2016-09-20,180,8,20468,Nuevo,2016,39384
2015-08-27,181,11,207,Segunda Mano,2000,18480
2015-06-29,182,11,18640,Segunda Mano,2002,15432
2022-09-26,183,6,11158,Segunda Mano,2013,18848
2021-01-06,184,10,1030,Segunda Mano,2007,24640
2021-07-08,185,12,22600,Nuevo,2021,53450
2017-10-04,186,11,25584,Segunda Mano,2008,20282
2020-07-22,187,13,5217,Segunda Mano,2014,40702
2022-08-28,188,12,25555,Segunda Mano,2021,32939
2016-12-20,189,8,19753,Nuevo,2016,54824
2019-04-04,190,14,28642,Segunda Mano,2014,30130
2018-04-02,191,7,15671,Nuevo,2018,41160
2019-06-29,192,5,25194,Segunda Mano,2013,19411
2023-12-26,193,7,4325,Nuevo,2023,38515
2017-12-06,194,14,3420,Segunda Mano,2008,17698
2016-11-04,195,11,28533,Segunda Mano,2014,34288
2022-07-20,196,5,18921,Segunda Mano,2010,12815
2017-12-13,197,2,19255,Segunda Mano,2016,19252
2021-09-05,198,12,14698,Segunda Mano,2013,29617
2019-06-17,199,6,13881,Segunda Mano,2008,27981
2020-08-14,200,13,27560,Nuevo,2020,46512
2015-04-22,201,1,17926,Nuevo,2015,24262
2021-01-28,202,6,9018,Segunda Mano,2006,19753
2018-03-23,203,3,19953,Segunda Mano,2008,34676
2020-10-26,204,4,15319,Segunda Mano,2008,24083
2015-04-28,205,20,13944,Nuevo,2015,33295
2019-09-24,206,8,25476,Segunda Mano,2011,24768
2018-09-01,207,12,1422,Nuevo,2018,44285
2018-06-26,208,19,25244,Nuevo,2018,26895
2020-05-28,209,16,24728,Segunda Mano,2016,25157
2019-11-01,210,8,24694,Nuevo,2019,51342
2015-12-07,211,19,9841,Nuevo,2015,31967
2015-01-19,212,13,27851,Segunda Mano,2008,37644
2021-02-17,213,15,6781,Segunda Mano,2007,12459
2017-02-03,214,9,13648,Segunda Mano,2003,23818
2019-01-06,215,6,15278,Segunda Mano,2009,19204
2023-06-28,216,8,15074,Segunda Mano,2021,44600
2023-04-01,217,8,26130,Segunda Mano,2013,20609
2019-06-15,218,9,1373,Segunda Mano,2014,33389
2018-05-20,219,10,26698,Nuevo,2018,42528
2016-05-12,220,9,27586,Segunda Mano,2014,41649
2022-08-16,221,18,8181,Segunda Mano,2008,17357
